# Umgebungsdruck: 985mabar
# Umgebungstemperatur: 22°C
# T (in °C)     p (in mbar)
25 95
26 98
27 102
28 105
29 108
30 112
31 116
32 119
33 122
34 126
35 131
36 134
37 138
38 141
39 145
40 149
41 153
42 157
43 162
44 166
45 170
46 174
47 178
48 183
49 187
50 192
51 197
52 202
53 207
54 212
55 218
56 225
57 231
58 237
59 245
60 252
61 258
62 265
63 273
64 281
65 290
66 299
67 308
68 317
69 327
70 337
71 348
72 360 
73 373
74 387
75 401
76 417
77 438
78 453
79 471
80 487
81 507
82 528
83 547 
84 578
85 592
86 612
87 635
88 656
89 678
90 700
91 724
92 753
93 775
94 809
95 835
96 867
97 899
98 938
99 989
100 999
