#große Kugel, Strecke 5cm
#T  hoch    runter  hoch    runter  dichte
31  28.76   28.26   28.27   28.80   0.99534
33  27.16   27.03   27.12   27.07   0.99470
34  26.76   27.01   26.75   26.76   0.99437
36  26.16   26.06   26.16   26.24   0.99369
40  24.32   24.23   24.40   24.24   0.99222
42  23.52   23.46   23.36   23.36   0.99144
43  22.84   22.81   22.87   23.27   0.99104
44  22.38   22.64   22.23   21.80   0.99063
47  21.32   21.69   21.38   21.24   0.98936
49  20.64   20.81   20.58   20.41   0.98848
