# Winkel[°]     Intensität senkrecht (0°)[Ampere]     parallel(90°)[Ampere]
6       6e-6        14e-6
8       8e-6        14e-6
10      7e-6        15e-6
12      10e-6       15e-6
14      6e-6        14e-6
16      11e-6       11e-6
18      10e-6       16e-6
20      10e-6       16e-6
22      12e-6       16e-6
24      15e-6       17e-6
26      12e-6       17e-6
28      17e-6       18e-6
30      14e-6       18e-6
32      19e-6       19e-6
34      18e-6       19e-6
36      26e-6       19e-6
38      24e-6       20e-6
40      31e-6       20e-6
42      28e-6       20e-6
44      39e-6       20e-6
46      38e-6       20e-6
48      47e-6       20e-6
50      46e-6       20e-6
52      55e-6       19e-6
54      64e-6       17e-6
56      70e-6       16e-6
58      70e-6       16e-6
60      80e-6       14e-6
62      78e-6       12e-6
64      0.09e-3     10e-6
66      0.09e-3     08e-6
68      0.11e-3     05e-6
70      0.11e-3     03e-6
71      0.12e-3     01e-6
72      0.12e-3     2.2e-6
73      0.13e-3     1.4e-6
74      0.14e-3     0.9e-6
75      0.14e-3     0.5e-6
76      0.13e-3     0.57e-6
77      0.15e-3     0.76e-6
78      0.14e-3     1.5e-6
79      0.16e-3     2.8e-6
80      0.15e-3     4.6e-6
82      0.17e-3     10e-6
84      0.16e-3     23e-6
86      0.19e-3     43e-6
87      0.19e-3     60e-6
